id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,最後にゆっくり眠れたのはいつですか？,昨日もよく眠れた,1週間以上前,いつだったか思い出せない,A,B,C
2,介護以外のこと（趣味・友人・仕事）に使える時間は？,週に数回は確保できている,月に数回程度,ほぼない,A,B,C
3,介護に関して誰かに話を聞いてもらえていますか？,家族や友人に話せている,たまに話せる,誰にも話せていない,A,B,C
4,親に対してイライラしたり怒鳴りたくなることはありますか？,ほとんどない,ときどきある,頻繁にある・実際に怒鳴ってしまった,A,B,C
5,介護を始めてから体の不調（頭痛・腰痛・疲労感）はありますか？,特にない,少し気になる,慢性的にある,A,B,C
6,介護に関して「もう限界かも」と感じたことはありますか？,ない,たまにある,最近よく感じる,A,B,C
7,介護のために仕事を減らしたり辞めることを考えましたか？,考えたことがない,少し考えている,すでに減らした・辞めた,A,B,C
8,介護中に「消えてしまいたい」「死にたい」と思ったことはありますか？,ない,少し頭をよぎることがある,よくある,A,C,C
9,現在使っている介護サービス（訪問介護・デイサービスなど）はありますか？,複数使っている,1つだけ,まったく使っていない,A,B,C
10,この先1年間、今の介護を続けられそうですか？,続けられると思う,自信がない,とても無理だと思う,A,B,C
