id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,現在の雇用形態は？,正社員（フルタイム）,パート・アルバイト・派遣,自営業・フリーランス,A,B,C
2,勤務先に介護休業・介護休暇制度はありますか？,ある・使ったことがある,あるが使いにくい雰囲気,ない・わからない,A,B,C
3,テレワーク・在宅勤務は可能ですか？,週3日以上できる,週1〜2日できる,できない,A,B,C
4,介護のために仕事を早退・欠勤したことはありますか？,ない,月1〜2回程度ある,週1回以上ある,A,B,C
5,職場の上司や同僚に介護していることを話していますか？,話していて理解してもらえている,話しているが配慮はない,話していない・話せない,A,B,C
6,収入がなくなった場合、生活を続けられますか？,貯金・配偶者の収入で1年以上持つ,半年程度なら何とかなる,すぐに厳しくなる,A,B,C
7,介護のために「仕事を辞めようか」と真剣に考えたことはありますか？,ない,少し考えたことがある,最近よく考えている,A,B,C
8,介護と仕事の両立で、体や精神に不調が出ていますか？,特にない,少し疲れを感じる,慢性的な不調・限界感がある,A,B,C
9,介護が必要な親の緊急時（急変・転倒など）に対応できる体制はありますか？,家族・近所・ヘルパーなど複数の連絡先がある,自分しかいない,特に考えていない,A,C,C
10,仕事を辞めた後のキャリア復帰について考えていますか？,復帰できる自信がある,少し不安,考えられる状況ではない,A,B,C
